App ID,pos,neg,FILE_DATE,Game Name,Rank
1272080,15,15,9/24/2023,PAYDAY 3,6
1716740,17,10,9/24/2023,Starfield,3
1085660,17,20,9/24/2023,Destiny 2,9
1599340,15,14,9/24/2023,Lost Ark,7
1627720,17,9,9/24/2023,Lies of P,8
1971870,18,16,9/24/2023,Mortal Kombat 1,5
730,14,15,9/24/2023,CounterStrike Global Offensive,1
1172470,18,16,9/24/2023,Apex Legends,10
1086940,19,15,9/24/2023,Baldurs Gate 3,4
