Rank,Game Name,Free to Play,Current Players,Peek Today,Collection Date
1,Counter-Strike 2,1,546279,1176034,2023-10-28
2,Dota 2,1,281825,697044,2023-10-28
3,Baldur's Gate 3,0,126841,151471,2023-10-28
4,Apex Legends™,1,97526,387264,2023-10-28
5,Team Fortress 2,1,81424,108299,2023-10-28
6,The Finals Playtest,0,72365,143260,2023-10-28
7,PUBG: BATTLEGROUNDS,1,69232,434976,2023-10-28
8,Rust,0,67432,105229,2023-10-28
9,Call of Duty®,0,64367,80328,2023-10-28
10,ARK: Survival Ascended,0,61688,67298,2023-10-28
11,Grand Theft Auto V,0,59822,154238,2023-10-28
12,Tom Clancy's Rainbow Six® Siege,0,48877,64472,2023-10-28
13,Wallpaper Engine,0,44577,122827,2023-10-28
14,Cyberpunk 2077,0,43772,65854,2023-10-28
15,Destiny 2,1,42601,46219,2023-10-28
16,War Thunder,1,42509,82266,2023-10-28
17,Cities: Skylines II,0,41639,70012,2023-10-28
18,Unturned,1,40124,47390,2023-10-28
19,Warframe,1,37372,64792,2023-10-28
20,New World,0,35788,45594,2023-10-28
21,EA SPORTS FC™ 24,0,35765,66682,2023-10-28
22,Lost Ark,1,35229,42033,2023-10-28
23,Sid Meier’s Civilization® VI,0,34751,63899,2023-10-28
24,Starfield,0,33503,39422,2023-10-28
25,Dead by Daylight,0,32160,49495,2023-10-28
26,ARK: Survival Evolved,0,30717,55373,2023-10-28
27,DayZ,0,30514,47904,2023-10-28
28,PAYDAY 2,0,30142,35943,2023-10-28
29,MIR4,1,27888,29551,2023-10-28
30,Project Zomboid,0,27755,35287,2023-10-28
31,Phasmophobia,0,27702,46304,2023-10-28
32,FINAL FANTASY XIV Online,0,27330,27330,2023-10-28
33,VRChat,1,26926,26926,2023-10-28
34,Rocket League®,0,26817,36541,2023-10-28
35,Hearts of Iron IV,0,26395,53203,2023-10-28
36,Stardew Valley,0,26288,35746,2023-10-28
37,Terraria,0,26126,46531,2023-10-28
38,ELDEN RING,0,26013,52742,2023-10-28
39,7 Days to Die,0,23820,35616,2023-10-28
40,The Sims™ 4,1,21938,29120,2023-10-28
41,tModLoader,0,21000,35326,2023-10-28
42,Left 4 Dead 2,0,20798,32896,2023-10-28
43,NARAKA: BLADEPOINT,1,20645,266552,2023-10-28
44,Don't Starve Together,0,20347,72729,2023-10-28
45,Euro Truck Simulator 2,0,20322,62852,2023-10-28
46,Geometry Dash,0,19864,24740,2023-10-28
47,The Elder Scrolls V: Skyrim Special Edition,0,19551,23926,2023-10-28
48,Red Dead Redemption 2,0,19236,43799,2023-10-28
49,Football Manager 2023,0,18418,33386,2023-10-28
50,Garry's Mod,0,17817,27593,2023-10-28
51,Battlefield™ 2042,0,17744,89077,2023-10-28
52,Valheim,0,17555,25667,2023-10-28
53,RimWorld,0,17465,20654,2023-10-28
54,Brawlhalla,1,17183,20808,2023-10-28
55,Warhammer 40_000: Darktide,0,16999,20017,2023-10-28
56,Hunt: Showdown,0,15936,31279,2023-10-28
57,Farming Simulator 22,0,15845,40165,2023-10-28
58,Black Desert,0,15844,19051,2023-10-28
59,Overwatch® 2,1,15469,31426,2023-10-28
60,Path of Exile,1,15362,21530,2023-10-28
61,Yu-Gi-Oh! Master Duel,1,15058,27989,2023-10-28
62,Sid Meier's Civilization® V,0,14856,18877,2023-10-28
63,Age of Empires II: Definitive Edition,0,14286,21316,2023-10-28
64,The Binding of Isaac: Rebirth,0,13333,22635,2023-10-28
65,SMITE®,1,13150,13869,2023-10-28
66,Fallout 4,0,13072,16007,2023-10-28
67,Space Engineers,0,13034,16358,2023-10-28
68,The Forest,0,12904,75113,2023-10-28
69,Total War: WARHAMMER III,0,12847,19264,2023-10-28
70,Bloons TD 6,0,12714,14217,2023-10-28
71,Governor of Poker 3,1,12432,13435,2023-10-28
72,Factorio,0,12364,17752,2023-10-28
73,Monster Hunter: World,0,12260,37577,2023-10-28
74,Europa Universalis IV,0,12064,19369,2023-10-28
75,The Elder Scrolls® Online,0,11858,16214,2023-10-28
76,Cookie Clicker,0,11853,13305,2023-10-28
77,Sea of Thieves 2023 Edition,0,11770,19596,2023-10-28
78,EA SPORTS™ FIFA 23,0,11586,21366,2023-10-28
79,Arma 3,0,11539,16895,2023-10-28
80,Crusader Kings III,0,11142,15949,2023-10-28
81,Deep Rock Galactic,0,10964,16544,2023-10-28
82,Soundpad,0,10940,15728,2023-10-28
83,Cities: Skylines,0,10623,21963,2023-10-28
84,Stellaris,0,10501,14596,2023-10-28
85,Mount & Blade II: Bannerlord,0,10467,20070,2023-10-28
86,BeamNG.drive,0,10433,15748,2023-10-28
87,Halo Infinite,1,10335,12427,2023-10-28
88,Farlight 84,1,9891,18910,2023-10-28
89,Backpack Battles Demo,0,9434,13860,2023-10-28
90,Lords of the Fallen,0,9399,12449,2023-10-28
91,Slay the Spire,0,8731,18126,2023-10-28
92,VPet-Simulator,1,8660,28303,2023-10-28
93,Conan Exiles,0,8645,11240,2023-10-28
94,Hero's Land,1,8577,20666,2023-10-28
95,Stumble Guys,1,8544,15024,2023-10-28
96,Fallout 76,0,8363,10933,2023-10-28
97,SCUM,0,8156,22961,2023-10-28
98,American Truck Simulator,0,8111,8111,2023-10-28
99,Street Fighter™ 6,0,8079,20184,2023-10-28
100,People Playground,0,7821,9646,2023-10-28
