Rank,Game Name,Free to Play,Current Players,Peek Today,Collection Date
1,Counter-Strike 2,1,891987,1070271,2023-10-30
2,Dota 2,1,679601,742090,2023-10-30
3,PUBG: BATTLEGROUNDS,1,291983,420729,2023-10-30
4,Apex Legends™,1,212826,326224,2023-10-30
5,The Finals Playtest,0,189297,249651,2023-10-30
6,NARAKA: BLADEPOINT,1,126396,253483,2023-10-30
7,Grand Theft Auto V,0,119926,138233,2023-10-30
8,Baldur's Gate 3,0,105902,211958,2023-10-30
9,Wallpaper Engine,0,90316,108823,2023-10-30
10,Team Fortress 2,1,89227,100648,2023-10-30
11,Rust,0,85682,104534,2023-10-30
12,War Thunder,1,69311,83843,2023-10-30
13,ARK: Survival Ascended,0,67043,98047,2023-10-30
14,Call of Duty®,0,66227,92387,2023-10-30
15,Warframe,1,57300,64495,2023-10-30
16,Cyberpunk 2077,0,56559,80804,2023-10-30
17,Euro Truck Simulator 2,0,51105,69754,2023-10-30
18,ARK: Survival Evolved,0,51031,62992,2023-10-30
19,Cities: Skylines II,0,50163,74295,2023-10-30
20,Unturned,1,49731,52463,2023-10-30
21,Love Is All Around,0,47979,64507,2023-10-30
22,Sid Meier’s Civilization® VI,0,47824,61857,2023-10-30
23,EA SPORTS FC™ 24,0,46950,64562,2023-10-30
24,Tom Clancy's Rainbow Six® Siege,0,45888,72877,2023-10-30
25,Battlefield™ 2042,0,41423,63825,2023-10-30
26,DayZ,0,40910,58547,2023-10-30
27,Hearts of Iron IV,0,40898,52723,2023-10-30
28,The Forest,0,40183,55712,2023-10-30
29,Don't Starve Together,0,39849,57761,2023-10-30
30,7 Days to Die,0,39740,50405,2023-10-30
31,Dead by Daylight,0,39413,48887,2023-10-30
32,ELDEN RING,0,39220,48275,2023-10-30
33,Lost Ark,1,38639,46070,2023-10-30
34,Red Dead Redemption 2,0,37404,45068,2023-10-30
35,Terraria,0,36333,47829,2023-10-30
36,Destiny 2,1,35348,51280,2023-10-30
37,Project Zomboid,0,35083,45498,2023-10-30
38,New World,0,33769,52614,2023-10-30
39,Stardew Valley,0,31027,42376,2023-10-30
40,Monster Hunter: World,0,30776,40677,2023-10-30
41,Farming Simulator 22,0,29601,51174,2023-10-30
42,Football Manager 2023,0,29525,36294,2023-10-30
43,MIR4,1,28872,29183,2023-10-30
44,The Sims™ 4,1,27690,38052,2023-10-30
45,Starfield,0,27489,52199,2023-10-30
46,tModLoader,0,27085,35573,2023-10-30
47,Phasmophobia,0,26940,48922,2023-10-30
48,Garry's Mod,0,24237,33897,2023-10-30
49,Yu-Gi-Oh! Master Duel,1,22833,29335,2023-10-30
50,Overwatch® 2,1,21523,27577,2023-10-30
51,Hunt: Showdown,0,21302,31435,2023-10-30
52,Left 4 Dead 2,0,20884,25998,2023-10-30
53,The Elder Scrolls V: Skyrim Special Edition,0,20788,30776,2023-10-30
54,PAYDAY 2,0,20553,35345,2023-10-30
55,VRChat,1,20460,28352,2023-10-30
56,RimWorld,0,19923,25910,2023-10-30
57,The Binding of Isaac: Rebirth,0,19895,22815,2023-10-30
58,SCUM,0,19661,21804,2023-10-30
59,Valheim,0,19391,34454,2023-10-30
60,FINAL FANTASY XIV Online,0,19222,32556,2023-10-30
61,Rocket League®,0,19065,36319,2023-10-30
62,Geometry Dash,0,18755,29388,2023-10-30
63,Mount & Blade II: Bannerlord,0,18359,22187,2023-10-30
64,Path of Exile,1,17867,23026,2023-10-30
65,Black Desert,0,17827,20681,2023-10-30
66,Age of Empires II: Definitive Edition,0,17808,24313,2023-10-30
67,VPet-Simulator,1,17710,27608,2023-10-30
68,EA SPORTS™ FIFA 23,0,17596,20075,2023-10-30
69,Cities: Skylines,0,17476,22685,2023-10-30
70,Total War: WARHAMMER III,0,17152,23368,2023-10-30
71,Farlight 84,1,16724,19029,2023-10-30
72,Europa Universalis IV,0,16654,22094,2023-10-30
73,Sid Meier's Civilization® V,0,16207,22219,2023-10-30
74,雀魂麻將(MahjongSoul),0,15419,20687,2023-10-30
75,Fallout 4,0,15282,21375,2023-10-30
76,Slay the Spire,0,15187,17688,2023-10-30
77,Brawlhalla,1,14643,23742,2023-10-30
78,Street Fighter™ 6,0,14538,19798,2023-10-30
79,Crusader Kings III,0,14446,19286,2023-10-30
80,Eternal Return,1,14445,20464,2023-10-30
81,Warhammer 40_000: Darktide,0,14362,24015,2023-10-30
82,Factorio,0,14108,21801,2023-10-30
83,Goose Goose Duck,1,13965,18250,2023-10-30
84,MONSTER HUNTER RISE,0,13850,18242,2023-10-30
85,Backpack Battles Demo,0,13722,14932,2023-10-30
86,The Witcher® 3: Wild Hunt,0,13559,18039,2023-10-30
87,Governor of Poker 3,1,13344,13529,2023-10-30
88,Soundpad,0,13297,17193,2023-10-30
89,Party Animals,0,12894,17259,2023-10-30
90,Cookie Clicker,0,12737,13886,2023-10-30
91,Sea of Thieves 2023 Edition,0,12691,21085,2023-10-30
92,BeamNG.drive,0,12503,18714,2023-10-30
93,Stellaris,0,12458,17139,2023-10-30
94,Space Engineers,0,12368,16668,2023-10-30
95,NBA 2K23,0,12300,16143,2023-10-30
96,World of Tanks Blitz,1,12234,14675,2023-10-30
97,Albion Online,1,12111,13499,2023-10-30
98,Hero's Land,1,11973,16394,2023-10-30
99,Bloons TD 6,0,11847,17582,2023-10-30
100,Counter-Strike,0,11491,14114,2023-10-30
