Rank,Game Name,Free to Play
1,CounterStrike Global Offensive,1
2,Steam Deck,0
3,Starfield,0
4,Baldurs Gate 3,0
5,Mortal Kombat 1,0
6,PAYDAY 3,0
7,Lost Ark,1
8,Lies of P,0
9,Destiny 2,1
10,Apex Legends,1
11,Cyberpunk 2077,0
12,Call of Duty,0
13,Cyberpunk 2077 Phantom Liberty,0
14,Call of Duty Black Ops III,0
15,Tom Clancys Rainbow Six Siege,0
16,ARMORED CORE VI FIRES OF RUBICON,0
17,Madden NFL 24,0
18,War Thunder,1
19,Resident Evil 4,0
20,Rust,0
21,NBA 2K24,0
22,Red Dead Redemption 2,0
23,Team Fortress 2,1
24,Dead by Daylight,0
25,Warframe,1
26,The Sims 4,1
27,Titanfall 2,0
28,FINAL FANTASY XIV Online,0
29,Sekiro Shadows Die Twice  GOTY Edition,0
30,Party Animals,0
31,Path of Exile,1
32,Valve Index Headset,0
33,Persona 5 Royal,0
34,The Elder Scrolls Online,0
35,Total War WARHAMMER III,0
36,Call of Duty Black Ops II,0
37,Grand Theft Auto V,0
38,BattleBit Remastered,0
39,Black Desert,0
40,Halo The Master Chief Collection,0
41,Ready or Not,0
42,Disney Dreamlight Valley,0
43,Steam Deck Docking Station,0
44,Dead Space,0
45,Arma 3,0
46,Dota 2,1
47,Fae Farm,0
48,American Truck Simulator,0
49,Microsoft Flight Simulator 40th Anniversary Edition,0
50,STAR WARS Jedi Survivor,0
51,MONSTER HUNTER RISE,0
52,FINAL FANTASY VII REMAKE INTERGRADE,0
53,Cities Skylines,0
54,Sunkenland,0
55,Void Crew,0
56,Fallout 76,0
57,YuGiOh Master Duel,1
58,Sonic Frontiers,0
59,Far Cry 6,0
60,EA SPORTS FC 24,0
61,Cities Skylines II,0
62,Call of Duty Black Ops Cold War,0
63,ELDEN RING,0
64,PUBG BATTLEGROUNDS,1
65,New World,0
66,Remnant II,0
67,Phasmophobia,0
68,No Mans Sky,0
69,Monster Hunter World,0
70,The Texas Chain Saw Massacre,0
71,Project Zomboid,0
72,Deep Rock Galactic,0
73,Magic The Gathering Arena,1
74,Total War WARHAMMER II,0
75,Baldurs Gate 3  Digital Deluxe Edition DLC,0
76,Yakuza Like a Dragon,0
77,Six Days in Fallujah,0
78,Mass Effect Legendary Edition,0
79,SMITE,1
80,MARVEL SNAP,1
81,EA Play,0
82,Borderlands 3,0
83,World of Warships,1
84,STAR WARS The Old Republic,1
85,Eternights,0
86,Cult of the Lamb,0
87,Wandering Sword,0
88,Sons Of The Forest,0
89,Call of Duty Black Ops,0
90,Assetto Corsa,0
91,Hades,0
92,The Elder Scrolls V Skyrim Special Edition,0
93,Call of Duty Modern Warfare,0
94,Valheim,0
95,Rocket League,0
96,FOR HONOR,0
97,Sea of Stars,0
98,MapleStory,1
99,Heretics Fork,0
100,Far Cry 5,0
