Rank,Game Name,Free to Play
1,ARK Survival Ascended,0
2,CounterStrike 2,1
3,Cities Skylines II,0
4,Baldurs Gate 3,0
5,Call of Duty,0
6,Steam Deck,0
7,Marvels SpiderMan Remastered,0
8,Apex Legends,1
9,Marvels SpiderMan Miles Morales,0
10,Cyberpunk 2077,0
11,Rust,0
12,War Thunder,1
13,Dead by Daylight,0
14,EA SPORTS FC 24,0
15,Team Fortress 2,1
16,Lost Ark,1
17,Tom Clancys Rainbow Six Siege,0
18,Destiny 2,1
19,New World,0
20,Warframe,1
21,Resident Evil 4,0
22,Red Dead Redemption 2,0
23,Cyberpunk 2077 Phantom Liberty,0
24,Black Desert,0
25,Madden NFL 24,0
26,Fallout 76,0
27,The Elder Scrolls Online,0
28,FINAL FANTASY XIV Online,0
29,Party Animals,0
30,METAL GEAR  METAL GEAR 2 Solid Snake,0
31,The Sims 4,1
32,Halo Infinite,1
33,Project Zomboid,0
34,Warhammer 40000 Darktide,0
35,Slay the Princess,0
36,Starfield,0
37,Hogwarts Legacy,0
38,Monster Hunter World,0
39,Ghostrunner 2,0
40,Grand Theft Auto V,0
41,Phasmophobia,0
42,HITMAN 3,0
43,Valve Index Headset,0
44,Sons Of The Forest,0
45,Diablo IV,0
46,Dota 2,1
47,DayZ,0
48,Warhammer Vermintide 2,0
49,Mortal Kombat 1,0
50,MahjongSoul,0
51,Ready or Not,0
52,Lethal Company,0
53,Strange Brigade,0
54,Fallout 4,0
55,MapleStory,1
56,American Truck Simulator,0
57,The Last of Us Part I,0
58,New World Rise of the Angry Earth,0
59,Lies of P,0
60,SMITE,1
61,Dead Space,0
62,Lords of the Fallen,0
63,YuGiOh Master Duel,1
64,Cult of the Lamb,0
65,NBA 2K24,0
66,The Outlast Trials,0
67,STAR WARS Jedi Survivor,0
68,Hunt Showdown,0
69,MONSTER HUNTER RISE,0
70,Battlefield 2042,0
71,PUBG BATTLEGROUNDS,1
72,Sea of Thieves 2023 Edition,0
73,Escape the Backrooms,0
74,For The King II,0
75,Resident Evil Village,0
76,theHunter Call of the Wild,0
77,MARVEL SNAP,1
78,Monster Hunter World Iceborne,0
79,WORLD OF HORROR,0
80,Hearts of Iron IV,0
81,Magic The Gathering Arena,1
82,Batman Arkham Knight,0
83,The Texas Chain Saw Massacre,0
84,STAR WARS The Old Republic,1
85,DONT SCREAM,0
86,SCP 5K,0
87,NARAKA BLADEPOINT,1
88,ELDEN RING,0
89,Planet Zoo,0
90,Demonologist,0
91,Space Engineers,0
92,Foxhole,0
93,Titanfall 2,0
94,Inscryption,0
95,EA Play,0
96,The Coffin of Andy and Leyley,0
97,Bloons TD 6,0
98,7 Days to Die,0
99,Call of Duty Black Ops III,0
100,RimWorld,0
